column,first_value,dtype
default_profile,1.0,int64
default_profile_image,0.0,int64
favourites_count,74.0,int64
followers_count,7.0,int64
friends_count,0.0,int64
geo_enabled,0.0,int64
statuses_count,20.0,int64
verified,0.0,int64
average_tweets_per_day,0.006,float64
account_age_days,3138.0,int64
log_followers_friends_ratio,2.0794415416798357,float64
log_statuses_followers_ratio,0.9650808960435873,float64
log_favourites_followers_ratio,2.2380465718564744,float64
log_normalized_followers,-5.972218015162117,float64
log_normalized_friends,-8.051659556841953,float64
log_normalized_statuses,-5.00713711911853,float64
log_normalized_favourites,-3.7341714433056428,float64
log_tweets_per_friends,3.044522437723423,float64
log_likes_per_tweet,1.272965675812887,float64
log_tweet_to_follower_ratio,0.9650808960435873,float64
log_tweets_per_day_relative_to_age,-8.045677485164406,float64
log_likes_engagement_ratio,2.2380465718564744,float64
high_activity_low_engagement,0.0,int64
high_tweet_low_age,0.0,int64
account_age_category,3.0,int8
has_profile_image,0.0,int64
has_background_image,0.0,int64
description_length,59.0,int64
username_length,8.0,int64
description_word_count,6.0,int64
has_url_in_description,1.0,int64
screen_name_digit_ratio,0.5,float64
description_digit_ratio,0.01694915254237288,float64
description_special_chars_count,0.0,int64
follower_friend_disparity,7.0,int64
is_low_follower_high_activity,0.0,int64
is_high_status_low_engagement,0.0,int64
is_new_with_verified,0.0,int64
is_recently_active_high_activity,0.0,int64
description_uppercase_ratio,0.11864406779661017,float64
username_special_chars_ratio,0.0,float64
has_profile_links,1.0,int64
description_spam_score,0.0,int64
lang_af,0.0,int64
lang_ar,0.0,int64
lang_bg,0.0,int64
lang_ca,0.0,int64
lang_cs,0.0,int64
lang_cy,0.0,int64
lang_da,0.0,int64
lang_de,0.0,int64
lang_el,0.0,int64
lang_en,1.0,int64
lang_es,0.0,int64
lang_et,0.0,int64
lang_fa,0.0,int64
lang_fi,0.0,int64
lang_fr,0.0,int64
lang_he,0.0,int64
lang_hi,0.0,int64
lang_hr,0.0,int64
lang_hu,0.0,int64
lang_id,0.0,int64
lang_it,0.0,int64
lang_ja,0.0,int64
lang_ko,0.0,int64
lang_lt,0.0,int64
lang_lv,0.0,int64
lang_mk,0.0,int64
lang_ne,0.0,int64
lang_nl,0.0,int64
lang_no,0.0,int64
lang_pa,0.0,int64
lang_pl,0.0,int64
lang_pt,0.0,int64
lang_ro,0.0,int64
lang_ru,0.0,int64
lang_sk,0.0,int64
lang_sl,0.0,int64
lang_so,0.0,int64
lang_sq,0.0,int64
lang_sv,0.0,int64
lang_sw,0.0,int64
lang_th,0.0,int64
lang_tl,0.0,int64
lang_tr,0.0,int64
lang_uk,0.0,int64
lang_unknown,0.0,int64
lang_ur,0.0,int64
lang_vi,0.0,int64
lang_zh-cn,0.0,int64
lang_zh-tw,0.0,int64
bow_000,0.0,int64
bow_10,0.0,int64
bow_100,0.0,int64
bow_11,0.0,int64
bow_12,0.0,int64
bow_13,0.0,int64
bow_14,0.0,int64
bow_15,0.0,int64
bow_16,0.0,int64
bow_17,0.0,int64
bow_18,0.0,int64
bow_19,0.0,int64
bow_1st,0.0,int64
bow_20,0.0,int64
bow_2012,0.0,int64
bow_2013,0.0,int64
bow_2014,0.0,int64
bow_2016,0.0,int64
bow_2017,0.0,int64
